0,1,2
A000,A223,B616
A000,A352,L200
A000,A352,R420
B000,A363,R500
A000,A325,B300
A000,A256,B653
A000,A416,J500
A000,A436,N400
A000,A426,J535
A000,A450,B634
A000,A450,C160
D000,A450,E363
A000,A450,J216
A000,A450,S400
A000,A450,W450
A000,A425,J520
A000,A425,R120
A000,A455,A524
A000,A422,M430
A000,A452,T500
A000,A423,C623
A000,A423,E421
A000,A416,A416
A000,A412,A500
A000,A536,B653
A000,A536,J160
A000,A536,M460
D100,A536,R553
A000,A536,J500
A000,A535,L630
A000,A655,A530
A000,A630,J520
A000,A216,C600
D000,A240,B653
A000,A240,D540
A000,A240,M620
A000,A325,E150
A000,A360,T620
A000,A620,E100
A000,A620,J330
A000,B420,R534
B000,B400,T500
A000,B260,G620
A000,B260,H640
A000,B260,J500
A000,B260,S315
A000,B432,E645
A000,B520,C455
A000,B610,C623
E000,B610,P200
E000,B610,R500
A000,B616,A240
A000,B626,L530
A000,B626,L632
A000,B623,Y152
B500,B653,A240
A000,B635,J160
A000,B250,J535
A000,B355,H360
B000,B320,R120
A000,B250,S250
E000,B550,J220
A000,B342,S536
A000,B550,M420
A000,B260,R530
A000,B230,C623
A000,B400,J200
A000,B400,J520
A000,B520,S315
A000,B530,M626
D400,B626,D130
D400,B626,K365
E000,B600,M420
A000,B600,N520
A000,B230,K365
A000,B300,P522
A000,B240,K623
A000,B262,B650
A000,B524,P410
A000,B421,J220
A000,B424,B300
A000,B424,T200
A000,B200,J400
A000,B200,W450
A000,B240,A530
B500,B420,H643
A000,B435,T530
A000,B232,J210
A000,B240,G620
A000,B240,P623
A000,B000,M650
A000,B350,G620
A000,B600,D160
A000,B255,B630
A000,B635,W450
A000,B634,M240
A000,B630,J000
A000,B653,M240
A000,B635,B100
A000,B623,R120
A000,B630,J250
A000,B660,K645
A000,B632,C645
A000,B625,M240
A000,B623,P362
A000,B620,G626
A000,B623,A360
C000,B620,C635
A000,B620,C643
A000,B620,D500
A000,B620,F652
A000,B620,T652
A000,B650,B630
A000,B650,C623
A000,B650,C430
A000,B650,D536
A000,B650,E145
A000,B650,F420
A000,B650,H643
A000,B650,J500
A000,B650,J215
A000,B650,J400
A000,B650,R543
A000,B650,S600
A000,B650,T612
B500,B650,W426
B000,B650,W450
D600,B655,J220
A000,B656,B650
A000,B650,V520
A000,B653,M240
E000,B255,B634
A000,B252,S600
A000,B256,T600
A000,B530,P400
A000,B500,W450
A000,B620,D130
A000,B622,I650
A000,B622,M620
A000,B653,V200
A000,B655,R200
A000,B652,J500
A000,B640,M600
A000,B635,B300
A000,B635,F420
A000,B635,R530
A000,B262,M635
A000,B346,J520
A000,B346,R410
A000,B550,R230
D000,B630,B653
A000,B630,D553
A000,B630,D620
A000,B630,M650
A000,B630,T600
A000,B650,R256
A000,B650,T150
A000,C300,S600
A000,C163,E435
A000,C514,C450
A000,C514,F600
A000,C514,J500
A000,C530,M600
A000,C120,J400
A000,C120,S500
A000,C635,T620
A000,C600,T530
A000,C652,G432
A000,C650,M620
D500,C615,J520
A000,C600,R240
A000,C600,T600
A000,C660,J500
A000,C640,G460
A000,C640,P362
A000,C636,S540
A000,C636,A500
D000,C636,D500
A000,C636,D500
A000,C636,D630
A000,C636,J500
A000,C616,G600
A000,C616,J200
A000,C250,J520
A000,C235,P500
A000,C320,T500
A000,C152,R163
A200,C516,M530
A000,C516,J516
D000,C534,G626
A000,C534,T620
A000,C534,W500
A000,C155,D540
A000,C200,A350
A000,C500,W500
A000,C624,B653
A000,C623,J520
A000,C620,R553
A000,C410,R543
A000,C462,W534
A000,C460,S540
A000,C435,D160
A000,C435,D543
A000,C435,F652
A000,C435,T612
A000,C455,S410
A000,C416,R263
A000,C430,W450
A000,C100,G400
A000,C100,K450
A000,C100,K623
D500,C140,J250
A000,C455,B653
A000,C436,B164
A000,C400,J250
A000,C452,K530
A000,C452,R500
A000,C452,S600
A000,C512,P200
A000,C560,T530
A000,C513,C645
A300,C513,E421
A000,C513,R163
A000,C524,G620
A000,C524,T500
A000,C200,D450
A000,C200,N242
A000,C200,W450
A000,C160,A650
A000,C160,T300
B000,C613,T520
A000,C653,C365
A000,C615,M240
B000,C650,M240
A000,C200,C642
A000,C532,R163
A000,C366,B630
A000,C152,A240
A000,C613,L000
A000,C636,M240
A000,C616,K300
A000,C616,K400
A000,C616,T500
D200,C625,A524
A300,C620,D630
A000,C621,G626
A000,C621,K300
A000,C621,V236
A000,C620,B616
A000,C620,E540
A000,C636,M620
A000,C632,L400
A000,C620,M600
A000,C620,J520
A000,C600,M424
A000,C632,F652
A000,D465,C640
A000,D542,B500
A000,D542,W530
A000,D620,D500
A000,D620,R163
A000,D200,A535
A000,D120,K620
A000,D120,A500
A000,D120,C623
A000,D120,D500
A000,D120,E363
A000,D120,J500
A000,D120,K150
A000,D120,L200
A000,D120,P200
A000,D120,R260
A000,D120,R200
A000,D120,S536
A000,D200,E430
A000,D000,J640
B400,D300,T250
A000,D423,C642
A000,D420,B350
A000,D500,M630
E000,D530,R240
A000,D600,B460
