"driver_id","trip_id","started_at","acc_3050_avg","acc_5090_avg","gyroscope_distance_avg","acc_highway_sq_of_diff"
17,"00FADF7F-2476-4ASE-8W9B-75FC047F5F0E","2021-03-06 10:54:54.0",,,,
25,"68D01DEE-0762-43F4-A385-3FB7D57A4BD6","2020-06-24 22:56:36.0",1.248,0.0,0.0839204,0.0
25,B9787774-A4A5-4D76-8A50-58D1BD94E05E,"2020-06-24 22:56:38.0",2.42077,0.854118,0.0577057,0.0
25,B9FC3426-54D7-4221-8DCE-00E35057143E,"2020-06-25 05:42:47.0",1.01929,0.645,0.0518536,0.0
29,"003EBA72-BCD4-494F-B679-175C1BB12434","2020-06-07 18:02:00.0",1.8231,1.52599,0.115597,0.0
29,"005434FE-2A50-455A-8AE2-DA73807F64F8","2021-10-16 13:09:25.0",1.34385,1.10739,0.117654,0.0
29,"006D71BD-924E-456B-AD84-3B81422D1364","2021-06-22 17:16:49.0",1.43,1.00235,0.179869,0.0
29,"00FCDF7F-2476-4ABE-859B-75FC047F5F0E","2021-03-06 10:54:54.0",,,,
29,"0111FE7B-FD62-44AD-AC20-FD3ABAAA7EEA","2021-08-19 17:31:29.0",1.44327,1.27143,0.0635855,1.60433
29,"014FC193-93AA-4D34-BE35-0B5E104FD6FF","2021-03-18 17:52:11.0",,,,
29,"017EB69E-99CA-41BB-83CC-131E0C83328F","2020-05-04 15:26:57.0",1.49693,0.907862,0.151527,
29,"018FBBE9-DD3B-4729-B0A2-8C403B167816","2021-04-05 13:17:10.0",1.62303,1.03822,0.0557309,0.0
29,"01B398C4-084D-4CB9-B1AF-343B5DF76C53","2021-10-02 10:42:05.0",0.647143,0.0,0.0973147,0.0
29,"01DBAF37-F83A-4AA2-AB69-5CB125A1807B","2021-03-15 16:01:27.0",1.82087,0.0,0.204185,0.0
29,"01F34B28-3C1F-4545-84C8-51552571DB28","2021-06-13 18:11:49.0",1.3249,0.0,0.139431,0.0
29,"02324192-F472-4C5D-9A88-6FE74B1EE3C2","2021-07-18 18:02:26.0",1.69765,1.44,0.0813416,0.0
29,"02357419-11ED-48A3-978D-5B82674831E8","2021-08-10 21:10:01.0",,,,
29,"0345DC1D-0129-467F-B1B9-4F04E86421B8","2020-06-09 12:19:14.0",2.09233,1.30411,0.129886,4.37076
